title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,rating,genre,language,director,producer,writer,theater_release,streaming_release,gross_usa,runtime,production_co,crew,link
Bull Durham,1988,"In Durham, N.C., the Bulls minor league baseball team has one asset no other can claim: a poetry-loving groupie named Annie Savoy (Susan Sarandon). As the team's season begins, Annie selects brash new recruit Ebby Calvin Laloosh (Tim Robbins), whom she christens ""Nuke,"" to inspire with the religion of baseball. Nuke also receives guidance from veteran player Crash Davis (Kevin Costner), who settles Nuke's erratic pitching and teaches him to follow the catcher's lead.",97,82,"Kevin Costner at his funniest and most charismatic in Bull Durham, a film that's as wise about relationships as it is about minor league baseball.",71,"50,000+",R,romance,English,Ron Shelton,"Thom Mount, Mark Burg",unknown,,2015-09-20,49900000,108,The Mount Company,"Kevin Costner, Susan Sarandon, Tim Robbins, Trey Wilson, Robert Wuhl, Jenny Robertson, Max Patkin, David Neidorf, Ron Shelton, David V. Lester, Thom Mount, Mark Burg, Michael Convertino, Bobby Byrne, Bonnie Timmermann, Armin Ganz",http://www.rottentomatoes.com/m/bull_durham
The Edge of Seventeen,2016,"Everyone knows that growing up is hard, and life is no easier for high school junior Nadine (Hailee Steinfeld), who is already at peak awkwardness when her all-star older brother Darian (Blake Jenner) starts dating her best friend Krista (Haley Lu Richardson). All at once, Nadine feels more alone than ever, until an unexpected friendship with a thoughtful teen (Hayden Szeto) gives her a glimmer of hope that things just might not be so terrible after all.",94,83,The Edge of Seventeen's sharp script -- and Hailee Steinfeld's outstanding lead performance -- make this more than just another coming-of-age dramedy.,215,"25,000+",R,"comedy, drama",English,Kelly Fremon Craig,"James L. Brooks, Richard Sakai, Julie Ansell",Kelly Fremon Craig,2016-11-18,2017-01-31,14400000,105,"STX Entertainment, Gracie Films","Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick, Woody Harrelson, Hayden Szeto, Alexander Calvert, Eric Keenleyside, Nesta Cooper, Kelly Fremon Craig, Kelly Fremon Craig, James L. Brooks, Richard Sakai, Julie Ansell, Brendan Ferguson, Cathy Schulman, Wang Zhongjun, Wang Zhonglei",http://www.rottentomatoes.com/m/the_edge_of_seventeen
The Muppets,2011,"Walter, the world's biggest Muppet fan, is on vacation in Los Angeles with his brother Gary (Jason Segel) and Gary's girlfriend, Mary (Amy Adams). They discover that greedy Tex Richman (Chris Cooper) plans to raze Muppet Studios and drill for oil on the spot. Desperate to save the Muppets' former stomping grounds, the three friends join forces with Kermit to reunite Miss Piggy, Fozzie and the rest of the gang to hold a telethon to raise the $10 million they need to save the studio .",95,80,"Clever, charming, and heartfelt, The Muppets is a welcome big screen return for Jim Henson's lovable creations that will both win new fans and delight longtime devotees.",228,"50,000+",PG,"kids and family, comedy",English,James Bobin,"David Hoberman, Todd Lieberman","Jason Segel, Nicholas Stoller",2011-11-23,2015-11-23,88600000,98,Walt Disney Studios,"Jason Segel, Amy Adams, Chris Cooper, Rashida Jones, Alan Arkin, James Carville, Donald Glover, Leslie Feist, Ken Jeong, Judd Hirsch, James Bobin, Jason Segel, Nicholas Stoller, David Hoberman, Todd Lieberman, Jason Segel, Nicholas Stoller, John G. Scotti, Martin G. Baker, Christophe Beck",http://www.rottentomatoes.com/m/the_muppets
Broadcast News,1987,"Intelligent satire of American television news. A highly strung news producer finds herself strangely attracted to a vapid anchorman even through she loathes everything he personifies. To make matters worse, her best friend, a talented but not particularly telegenic news reporter, is secretly in love with her.",98,79,"Blockbuster dramatist James L. Brooks delivers with Broadcast News, fully entertaining with deft, deep characterization.",52,"10,000+",R,romance,English,James L. Brooks,James L. Brooks,James L. Brooks,,2015-11-25,49200000,132,"Twentieth Century Fox, American Entertainment, Gracie Films","William Hurt, Albert Brooks, Holly Hunter, Robert Prosky, Lois Chiles, Joan Cusack, Peter Hackes, Christian Clemenson, Robert Katims, Ed Wheeler, James L. Brooks, James L. Brooks, James L. Brooks, Polly Platt, Michael Ballhaus, Richard Marks, Bill Conti",http://www.rottentomatoes.com/m/broadcast_news
Silver Linings Playbook,2012,"After losing his job and wife, and spending time in a mental institution, Pat Solatano (Bradley Cooper) winds up living with his parents (Robert De Niro, Jacki Weaver). He wants to rebuild his life and reunite with his wife, but his parents would be happy if he just shared their obsession with the Philadelphia Eagles. Things get complicated when Pat meets Tiffany (Jennifer Lawrence), who offers to help him reconnect with his wife, if he will do something very important for her in exchange.",92,86,"Silver Linings Playbook walks a tricky thematic tightrope, but David O. Russell's sensitive direction and some sharp work from a talented cast gives it true balance.",260,"250,000+",R,"comedy, drama, romance",English,David O. Russell,"Donna Gigliotti, Bruce Cohen, Jonathan Gordon",David O. Russell,2012-11-21,2017-04-01,132100000,122,Weinstein Company,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver, Chris Tucker, Anupam Kher, Julia Stiles, John Ortiz, Shea Whigham, Dash Mihok, David O. Russell, David O. Russell, Donna Gigliotti, Bruce Cohen, Jonathan Gordon, Bob Weinstein, Harvey Weinstein, George Para, Michelle Raimo, Bradley Cooper",http://www.rottentomatoes.com/m/silver_linings_playbook
Lost in Translation,2003,"A lonely, aging movie star named Bob Harris (Bill Murray) and a conflicted newlywed, Charlotte (Scarlett Johansson), meet in Tokyo. Bob is there to film a Japanese whiskey commercial; Charlotte is accompanying her celebrity-photographer husband. Strangers in a foreign land, the two find escape, distraction and understanding amidst the bright Tokyo lights after a chance meeting in the quiet lull of the hotel bar. They form a bond that is as unlikely as it is heartfelt and meaningful.",95,85,"Effectively balancing humor and subtle pathos, Sofia Coppola crafts a moving, melancholy story that serves as a showcase for both Bill Murray and Scarlett Johansson.",232,"250,000+",R,"drama, comedy",English,Sofia Coppola,"Sofia Coppola, Ross Katz",Sofia Coppola,2003-09-19,2012-06-15,44600000,102,"Elemental Films, American Zoetrope","Bill Murray, Scarlett Johansson, Giovanni Ribisi, Anna Faris, Fumihiro Hayashi, Catherine Lambert, Gregory Pekar, Sofia Coppola, Sofia Coppola, Sofia Coppola, Ross Katz, Francis Ford Coppola, Fred Roos, Lance Acord, Anne Ross, K.K. Barrett, Nancy Steiner",http://www.rottentomatoes.com/m/lost_in_translation
Mr. Smith Goes to Washington,1939,"When the idealistic young Jefferson Smith (James Stewart) winds up appointed to the United States Senate, he gains the mentorship of Senator Joseph Paine (Claude Rains). However, Paine isn't as noble as his reputation would indicate, and he becomes involved in a scheme to discredit Smith, who wants to build a boys' campsite where a more lucrative project could go. Determined to stand up against Paine and his corrupt peers, Smith takes his case to the Senate floor.",96,94,Mr. Smith Goes to Washington -- and returns with an uplifting ode to idealism that distills the strengths of its director and leading man.,45,"25,000+",unknown,"comedy, drama",English,Frank Capra,Frank Capra,"Lewis R. Foster, Sidney Buchman",1939-10-19,2012-04-16,,125,Columbia Pictures Corporation,"James Stewart, Jean Arthur, Claude Rains, Edward Arnold, Guy Kibbee, Eugene Pallette, Beulah Bondi, H.B. Warner, Harry Carey, Frank Capra, Lewis R. Foster, Sidney Buchman, Frank Capra, Dimitri Tiomkin, Joseph Walker, Al Clark, Gene Havlick, Lionel Banks",http://www.rottentomatoes.com/m/mr_smith_goes_to_washington
Won't You Be My Neighbor?,2018,"Filmmaker Morgan Neville examines the life and legacy of Fred Rogers, the beloved host of the popular children's TV show ""Mister Rogers' Neighborhood.""",97,94,Won't You Be My Neighbor? takes a fittingly patient and honest look at the life and legacy of a television pioneer whose work has enriched generations.,253,"2,500+",PG-13,documentary,English,Morgan Neville,"Caryn Capotosto, Nicholas Ma",unknown,2018-06-29,2018-08-21,22600000,94,Tremolo Productions,"Joanne Rogers, Bill Isler, Hedda Sharapan, Margaret Whitmer, Betty Seamans, Morgan Neville, Leslie Berriman, John Boccardo, Caryn Capotosto, Nicholas Ma, Jeff Malmberg, Aaron Wickenden",http://www.rottentomatoes.com/m/wont_you_be_my_neighbor
I Am Not Your Negro,2016,"In 1979, James Baldwin wrote a letter to his literary agent describing his next project, ""Remember This House."" The book was to be a revolutionary, personal account of the lives and assassinations of three of his close friends: Medgar Evers, Malcolm X and Martin Luther King, Jr. At the time of Baldwin's death in 1987, he left behind only 30 completed pages of this manuscript. Filmmaker Raoul Peck envisions the book James Baldwin never finished.",99,83,I Am Not Your Negro offers an incendiary snapshot of James Baldwin's crucial observations on American race relations -- and a sobering reminder of how far we've yet to go.,207,"10,000+",PG-13,documentary,English,Raoul Peck,"Rémi Grellety, Raoul Peck, Hébert Peck",James Baldwin,2017-02-03,2017-05-02,7100000,95,Magnolia Pictures,"Samuel L. Jackson, Raoul Peck, Raoul Peck, Henry Adebonojo, Bill Ross, Turner Ross",http://www.rottentomatoes.com/m/i_am_not_your_negro
Apollo 11,2019,"Never-before-seen footage and audio recordings take you straight into the heart of NASA's most celebrated mission as astronauts Neil Armstrong, Buzz Aldrin and Michael Collins embark on a historic trip to the moon.",99,90,"Edifying and inspiring in equal measure, Apollo 11 uses artfully repurposed archival footage to send audiences soaring back to a pivotal time in American history.",184,"1,000+",G,"drama, documentary, history",English,Todd Douglas Miller,"Todd Douglas Miller, Thomas Petersen, Evan Krauss",unknown,2019-03-08,2019-05-14,9000000,93,"Statement Pictures, CNN Films","Bill Anders, H. David Reed, Todd Douglas Miller, Courtney Sexton, Amy Entelis, Josh Braun, Todd Douglas Miller, Evan Krauss, Buzz Aldrin, Todd Douglas Miller, Matt Morton",http://www.rottentomatoes.com/m/apollo_11_2019
Life Itself,2014,"Filmmaker Steve James chronicles the life of film critic Roger Ebert, especially his career highlights, his battle with alcohol, and his sometimes ruthless rivalry with fellow critic Gene Siskel.",98,88,"Rich in detail and warmly affectionate, Life Itself offers a joyful yet poignant tribute to a critical cinematic legacy.",202,"10,000+",R,documentary,English,Steve James,"Zak Piper, Steve James, Garrett Basch",unknown,2014-07-04,2016-05-22,809700,120,"Kartemquin Films, Film Rites","Roger Ebert, Ava DuVernay, Zak Piper, Garrett Basch, Martin Scorsese, Steven Zaillian, Michael W. Ferro Jr., Gordon Quinn, Justine Nagan, Kat White",http://www.rottentomatoes.com/m/life_itself
Man on Wire,2008,"Using actual footage from the event seamlessly mingled with new re-enactments, filmmaker James Marsh masterfully recreates high-wire daredevil Philippe Petit's 1974 stunt: performing acrobatics on a thin wire strung between the Twin Towers of the World Trade Center. Plotting his feat like a master cat burglar, Petit enlists the help of a motley group of friends as he calculates every detail, from acquiring building access to stringing up the wire, and manages to pull off an astounding crime.",100,87,James Marsh's doc about artist Phililppe Petit's artful caper brings you every ounce of suspense that can be wrung from a man on a (suspended) wire.,158,"25,000+",PG-13,documentary,English,James Marsh,Simon Chinn,unknown,2008-07-25,2016-11-18,3000000,90,"Discovery Films, UK Film Council","Annie Allix, Jean François Heckel, James Marsh, Simon Chinn, Nick Fraser, Andrea Meditch",http://www.rottentomatoes.com/m/man_on_wire
Amazing Grace,2018,Singer Aretha Franklin performs gospel songs at the New Temple Missionary Baptist Church in Los Angeles in 1972.,99,80,"Brilliantly capturing a remarkable performer near the peak of her prodigious power, Amazing Grace is a thrilling must-watch documentary for Aretha Franklin fans.",158,250+,G,"music, documentary",English,Alan Elliott,"Alan Elliott, Aretha Franklin, Jerry Wexler, Joe Boyd, Rob Johnson, Chiemi Karasawa, Sabrina V. Owens, Tirrell D. Whittley, Joseph Woolf",unknown,2018-11-23,2019-08-06,4500000,87,Sundial Pictures,"Aretha Franklin, Alan Elliott, Alan Elliott, Aretha Franklin, Jerry Wexler, Chiemi Karasawa, Joseph Woolf",http://www.rottentomatoes.com/m/amazing_grace_2018
Minding the Gap,2018,"Three young men bond together to escape volatile families in their Rust Belt hometown. As they face adult responsibilities, unexpected revelations threaten their decade-long friendship.",100,92,Minding the Gap draws on more than a decade of documentary footage to assemble a poignant picture of young American lives that resonates far beyond its onscreen subjects.,122,500+,unknown,documentary,English,Bing Liu,"Bing Liu, Diane Moy Quon",unknown,2018-08-17,2018-08-17,,93,Kartemquin Films,"Bing Liu, Bing Liu, Sally Jo Fifer, Bing Liu, Diane Moy Quon, Bing Liu, Bing Liu, Joshua Altman, Chris Ruggiero",http://www.rottentomatoes.com/m/minding_the_gap
Three Identical Strangers,2018,"Identical triplets become separated at birth and adopted by three different families. Years later, their amazing reunion becomes a global sensation but also unearths an unimaginable secret that has radical repercussions.",97,88,"Surreal and surprising, Three Identical Strangers effectively questions the nature of reality and identity.",183,"2,500+",PG-13,"history, documentary, mystery and thriller, drama, biography",English,Tim Wardle,"Grace Hughes-Hallett, Becky Read",Grace Hughes-Hallett,2018-06-29,2018-10-02,12300000,96,Raw,"David Kellman, Lawrence Wright, Will Ennis, Scotty Murray, Silvi Alzetta-Reali, Tim Wardle, Grace Hughes-Hallett, Tom Barry, Dimitri Doganis, Grace Hughes-Hallett",http://www.rottentomatoes.com/m/three_identical_strangers
McQueen,2018,Archival footage and interviews with friends and family offer insight into the extraordinary life and career of British fashion designer Alexander McQueen.,99,79,"McQueen offers an intimate, well-sourced, and overall moving look at a young life and brilliant career that were tragically cut short.",124,500+,R,documentary,English,"Ian Bonhôte, Peter Ettedgui","Ian Bonhôte, Andee Ryder, Nick Taussig, Paul Van Carter",Peter Ettedgui,2018-07-20,2018-09-25,1300000,111,"Misfits Entertainment, Salon Pictures","Bernard Arnault, Jodie Kidd, Kate Moss, Michelle Olley, Peter Ettedgui, Peter Ettedgui, Andee Ryder, Nick Taussig, Paul Van Carter, Alexander Alexandrov",http://www.rottentomatoes.com/m/mcqueen
Crip Camp,2020,A groundbreaking summer camp galvanizes teens who have disabilities.,100,91,"As entertaining as it is inspiring, Crip Camp uses one group's remarkable story to highlight hope for the future and the power of community.",96,100+,R,documentary,English,"Jim LeBrecht, Nicole Newnham",James Lebrecht,"James Lebrecht, Nicole Newnham",,2020-03-26,,107,Higher Ground Productions,"Dennis Billups, HolLynn D'Lil, Judith Heumann, Denise Sherer Jacobson, Lionel Je'Woodyard, James Lebrecht, Jim LeBrecht, Nicole Newnham, James Lebrecht, Nicole Newnham, Barack Obama, Michelle Obama, Priya Swaminathan, Tonia Davis, Howard Gertler, James Lebrecht",http://www.rottentomatoes.com/m/crip_camp_a_disability_revolution
20 Feet From Stardom,2013,Filmmaker Morgan Neville shines a long-overdue spotlight on the hit-making contributions of longtime backup singers like Darlene Love and Merry Clayton.,99,82,"Rich, insightful, and occasionally heartbreaking, 20 Feet From Stardom is an energetic tribute to the passion, talent, and hard work of backup singers.",128,"10,000+",PG-13,documentary,English,Morgan Neville,"Gil Friesen, Caitrin Rogers, Morgan Neville",unknown,2013-06-14,2017-02-14,4900000,90,Tremolo Productions,"David Bowie, Ray Charles, Sheryl Crow, Lou Adler, Patti Austin, Chris Botti, Morgan Neville, Gil Friesen, Caitrin Rogers, Morgan Neville, George Conrades, Art Bilger, Peter Morton, Joel S. Ehrenkranz, Nicola B. Marsh",http://www.rottentomatoes.com/m/20_feet_from_stardom
Weiner,2016,"Former Rep. Anthony Weiner (D-N.Y.) runs for mayor of New York in 2013, but a new sex scandal ruins his attempt at a political comeback.",97,83,Weiner uses sharp insight and untrammeled access to offer a portrait of a political and personal collapse that's as queasy as it is undeniably compelling.,176,"5,000+",R,documentary,English,"Josh Kriegman, Elyse Steinberg","Josh Kriegman, Elyse Steinberg","Josh Kriegman, Elyse Steinberg, Eli Despres",2016-05-20,2016-11-30,1700000,96,"Edgeline Films, Motto Pictures","Anthony Weiner, Huma Abedin, Elyse Steinberg, Elyse Steinberg, Eli Despres, Elyse Steinberg, Julie Goldman, Christopher Clements, Carolyn Hepburn",http://www.rottentomatoes.com/m/weiner
Collective,2019,"Directed by Alexander Nanau (TOTO AND HIS SISTERS), COLLECTIVE follows a heroic team of journalists as they uncover shocking, widespread corruption. After a deadly nightclub fire, the mysterious death of the owner of a powerful pharmaceutical firm, and the quiet resignation of a health minister—seemingly unrelated events, all within weeks of each other--the team of intrepid reporters exposes a much larger, much more explosive political scandal. COLLECTIVE is a fast-paced, real-time detective story about truth, accountability, and the value of an independent press in partisan times.",99,92,Collective presents a darkly effective overview of the cycle of political corruption and public cynicism that takes hold when government abrogates its responsibility to the people.,116,100+,unknown,documentary,Romanian,Alexander Nanau,"Hanka Kastelicová, Bernard Michaux, Alexander Nanau, Bianca Oana","Alexander Nanau, Antoaneta Opris",2020-11-20,2020-11-20,,109,"Alexander Nanau Production, Samsa Film, HBO Europe","Alexander Nanau, Alexander Nanau, Antoaneta Opris, Alexander Nanau, Bianca Oana, Alexander Nanau, Dana Bunescu",http://www.rottentomatoes.com/m/collective_2020
Dick Johnson Is Dead,2020,A filmmaker and her elderly father stage his death in various ways to help them face his inevitable demise.,100,78,"Dick Johnson Is Dead celebrates a life with bittersweet humor and grace, offering a deeply resonant perspective on mortality in the bargain.",90,100+,PG-13,documentary,English,Kirsten Johnson,"Katy Chevigny, Marilyn Ness","Kirsten Johnson, Nels Bangerter",,2020-10-02,,89,"Big Mouth Productions, Netflix","Kirsten Johnson, Dick Johnson, Kirsten Johnson, Kirsten Johnson, Nels Bangerter, Katy Chevigny, Marilyn Ness, Megan Ellison, Nels Bangerter, John Lavin, Gabriella Moses",http://www.rottentomatoes.com/m/dick_johnson_is_dead
Free Solo,2018,"Alex Honnold completes the first free solo climb of famed El Capitan's 3,000-foot vertical rock face at Yosemite National Park.",97,93,Free Solo depicts athletic feats that many viewers will find beyond reason - and grounds the attempts in passions that are all but universal.,154,"2,500+",PG-13,documentary,English,"Elizabeth Chai Vasarhelyi, Jimmy Chin","Elizabeth Chai Vasarhelyi, Jimmy Chin, Evan Hayes, Shannon Dill",unknown,2018-09-28,2019-02-12,17500000,100,"Little Monster Films, Itinerant Media","Alex Honnold, Tommy Caldwell, Jimmy Chin, Cheyne Lempe, Dierdre Wolownick, Peter Croft, Elizabeth Chai Vasarhelyi, Jimmy Chin, Elizabeth Chai Vasarhelyi, Jimmy Chin, Evan Hayes, Shannon Dill, Walter Parkes, Laurie MacDonald, Tim Pastore, Matt Renner",http://www.rottentomatoes.com/m/free_solo
The Last Waltz,1978,"Seventeen years after joining forces as the backing band for rockabilly cult hero Ronnie Hawkins, Canadian roots rockers The Band call it quits with a lavish farewell show at San Francisco's Winterland Ballroom on Nov. 25, 1976. Filmed by Martin Scorsese, this documentary features standout performances by rock legends such as Bob Dylan, Van Morrison, Eric Clapton, Joni Mitchell and Muddy Waters, as well as interviews tracing the group's history and discussing road life.",98,94,"Among one of, if not the best rock movie ever made, The Last Waltz is a revealing, electrifying view of the classic band at their height.",50,"10,000+",PG,documentary,English,Martin Scorsese,Robbie Robertson,unknown,1978-12-31,2017-04-18,322000,117,Last Waltz Inc.,"Robbie Robertson, Ringo Starr, Ron Wood, Neil Young, Paul Butterfield, Eric Clapton, Rick Danko, Neil Diamond, Dr. John, Martin Scorsese, L.A. Johnson, Frank Marshall, Robbie Robertson, Jonathan T. Taplin, Neil Diamond, Michael Chapman, Vilmos Zsigmond, Boris Leven",http://www.rottentomatoes.com/m/the_last_waltz_1978
Kedi,2016,"Hundreds of thousands of cats have roamed the metropolis of Istanbul freely for thousands of years, wandering in and out of people's lives, impacting them in ways only an animal who lives between the worlds of the wild and the tamed can. Cats and their kittens bring joy and purpose to those they choose, giving people an opportunity to reflect on life and their place in it. In Istanbul, cats are the mirrors to ourselves.",98,85,"Kedi is a cat fancier's dream, but this thoughtful, beautifully filmed look at Istanbul's street feline population offers absorbing viewing for filmgoers of any purr-suasion.",128,"5,000+",unknown,documentary,Turkish,Ceyda Torun,"Ceyda Torun, Charlie Wuppermann",unknown,2017-02-10,2017-11-12,2800000,80,Termite Films,"Ceyda Torun, Ceyda Torun, Charlie Wuppermann, Gregor Kewel, Thomas Podstawski, Alp Korfali, Charlie Wuppermann",http://www.rottentomatoes.com/m/kedi_2017
Totally Under Control,2020,Public health officials discuss the U.S. government's response to the COVID-19 pandemic.,99,85,Totally Under Control does a commendable job of distilling current events into a clear-eyed overview that's as engaging as it is enraging.,101,100+,unknown,documentary,English,"Alex Gibney, Ophelia Harutyunyan, Suzanne Hillinger","Alex Gibney, Ophelia Harutyunyan",Alex Gibney,,2020-10-13,,123,"Yellow Bear Films, Jigsaw Productions, Play/Action Pictures, Participant","Alex Gibney, Taison Bell, Michael Bowen, Rick Bright, Caroline Chen, Thomas Frieden, Alex Gibney, Alex Gibney, Ophelia Harutyunyan, Suzanne Hillinger, Alison Ellwood, Mark Lampert, Andrew Morrison, Michael Sacks, Alex Gibney, Ophelia Harutyunyan",http://www.rottentomatoes.com/m/totally_under_control
Stop Making Sense,1984,"Director Jonathan Demme captures the frantic energy and artsy groove of Talking Heads in this concert movie shot at the Hollywood Pantages Theatre in 1983. The band's frontman, David Byrne, first appears on an empty stage, armed with only an acoustic guitar, and is gradually joined by bassist Tina Weymouth, drummer Chris Frantz, keyboardist Jerry Harrison and a cadre of backup singers as they perform the band's hits, culminating in an iconic performance featuring Byrne in an enormous suit.",100,98,"Jonathan Demme's Stop Making Sense captures the energetic, unpredictable live act of peak Talking Heads with color and visual wit.",41,"5,000+",unknown,"music, documentary",English,Jonathan Demme,Gary Goetzman,unknown,,2016-08-10,148400,88,Arnold Stiefel Company,"Bernie Worrell, Alex Weir, Steve Scales, Lynn Mabry, Tina Weymouth, Jerry Harrison, Chris Frantz, David Byrne, Jonathan Demme, Gary Kurfirst, Gary Goetzman, David Byrne, Chris Frantz, Jerry Harrison, Talking Heads, Tina Weymouth, Jordan Cronenweth, Lisa Day",http://www.rottentomatoes.com/m/stop_making_sense
Knock Down the House,2019,"A young bartender in the Bronx, a coal miner's daughter in West Virginia, a grieving mother in Nevada, and a registered nurse in Missouri build a movement of insurgent candidates to challenge powerful incumbents in Congress. One of their races will become the most shocking political upsets in recent American history.",99,10,"A galvanizing glimpse behind the scenes of a pivotal election, Knock Down the House should prove engrossing for viewers of all political persuasions.",103,"5,000+",PG,documentary,English,Rachel Lears,"Rachel Lears, Robin Blotnick, Sarah Olson","Rachel Lears, Robin Blotnick",2019-05-01,2019-05-01,,86,Atlas Films,"Alexandria Ocasio-Cortez, Rachel Lears, Rachel Lears, Robin Blotnick, Rachel Lears, Robin Blotnick, Sarah Olson, Kristin Lazure, Regina K. Scully, Stephanie Soechtig, Rachel Lears",http://www.rottentomatoes.com/m/knock_down_the_house
Blackfish,2013,"The story of Tilikum, a captive killer whale that has taken the lives of several people, underscores problems within the sea-park industry, man's relationship to nature, and how little has been learned about these highly intelligent mammals.",98,90,"Blackfish is an aggressive, impassioned documentary that will change the way you look at performance killer whales.",131,"25,000+",PG-13,documentary,English,Gabriela Cowperthwaite,"Gabriela Cowperthwaite, Manuel Oteyza","Gabriela Cowperthwaite, Eli Despres, Tim Zimmerman",2013-07-19,2016-12-05,2100000,83,Manny O Productions,"John Hargrove, Samantha Berg, Kim Ashdown, Dean Gomersall, Carol Ray, Dave Duffus, Gabriela Cowperthwaite, Gabriela Cowperthwaite, Eli Despres, Gabriela Cowperthwaite, Judy Bart, Erica Kahn, Christopher Towey",http://www.rottentomatoes.com/m/blackfish_2013
Taxi to the Dark Side,2007,"This documentary explores the American military's use of torture by focusing on the unsolved murder of an Afhgani taxi driver who, in 2002, was taken for questioning at Bagram Force Air Base. Five days later, the man was dead. The medical examiner claimed the driver died from excessive physical abuse. Taking this case as a jumping-off point, the film examines wider claims of torture that occurred at bases like Abu Ghraib and Guantanamo Bay during the Bush administration.",100,90,"Taxi to the Dark Side is an intelligent, powerful look into the dark corners of the War on Terror.",93,"5,000+",R,"crime, drama, war, documentary",English,Alex Gibney,"Eva Orner, Susannah Shipman, Alex Gibney",Alex Gibney,2008-01-18,2019-10-21,274700,106,"Wider Film Projects, Discovery Channel, Tall Woods, Jigsaw Productions, X-Ray Productions","Alex Gibney, Brian Keith Allen, Jack Cloonan, Greg D'Agostino, Moazzam Begg, Alex Gibney, Alex Gibney, Eva Orner, Susannah Shipman, Alex Gibney, Don Glascoff, Sidney Blumenthal, Jedd Wider, Todd Wider",http://www.rottentomatoes.com/m/taxi_to_the_dark_side
Time,2020,"Entrepreneur Fox Rich spends the last two decades campaigning for the release of her husband, Rob G. Rich, who is serving a 60-year prison sentence for a robbery they both committed in the early 1990s in a moment of desperation.",98,49,Time delivers a powerful broadside against the flaws of the American justice system -- and chronicles one family's refusal to give up against all odds.,116,100+,PG-13,documentary,English,Garrett Bradley,"Garrett Bradley, Lauren Domino, Kellen Quinn",unknown,2020-10-09,2020-10-16,,81,Concordia Studio,"Garrett Bradley, Davis Guggenheim, Kathleen Lingo, Laurene Powell-Jobs, Nicole Stott, Garrett Bradley, Nisa East, Gabriel Rhodes",http://www.rottentomatoes.com/m/time_2020
Maiden,2018,"In 1989 Tracy Edwards leads the first all-female crew in the Whitbread Round the World Race, a grueling yachting competition that covers 33,000 miles and lasts nine months.",98,97,"Enthralling viewing even for audiences with little to no knowledge of or interest in sailing, Maiden pays powerful tribute to a true pioneer.",118,100+,PG,documentary,English,Alex Holmes,"Alex Holmes, Victoria Gregory",unknown,2019-06-28,2019-10-01,3200000,93,"Sony Pictures Classics, New Black Films, Mongrel Media","Tracy Edwards, Nancy Harris, John Chittenden, Bruno De Bois, Howard Gibbons, Jo Gooding, Angela Heath, Marie-Claude Heys, Alex Holmes, Alex Holmes, Victoria Gregory, James Erskine, Anna Godas, Oli Harbottle, Chris Openshaw, Katie Bryer, Rob Manning, Samuel Sim",http://www.rottentomatoes.com/m/maiden
Murderball,2005,"This documentary introduces the U.S. quad rugby team -- a team composed entirely of young paraplegic men. Using special wheelchairs and very little protection, the players play full-contact competitive rugby, using rules only slightly altered to accommodate their limitations. The film follows the team as they discuss the sport, their lives, and how they ended up in their chairs to begin with, while they play their way to the 2004 Paralympic Games in Athens, Greece.",98,89,An entertaining and gripping documentary that shows being confined to a wheelchair doesn't mean the fun has to end.,141,"10,000+",R,documentary,English,"Henry Alex Rubin, Dana Adam Shapiro",Dana Adam Shapiro,unknown,,2019-11-03,1500000,85,unknown,"Henry Alex Rubin, Dana Adam Shapiro, Christian Ettinger, Randy Manis, Jeff Sackman, Dana Adam Shapiro, Mark Urman, Henry Alex Rubin, Conor O'Neill, Geoffrey Richman",http://www.rottentomatoes.com/m/murderball
Jodorowsky's Dune,2013,"Filmmaker Alejandro Jodorowsky discusses how he would have adapted Frank Herbert's classic sci-fi novel ""Dune"" for the big screen.",98,89,"Part thoughtful tribute, part bittersweet reminder of a missed opportunity, Jodorowsky's Dune offers a fascinating look at a lost sci-fi legend.",121,"10,000+",PG-13,documentary,English,Frank Pavich,"Frank Pavich, Stephen Scarlata, Travis Stevens",unknown,2014-03-21,2014-07-08,646500,88,Snowfort Pictures,"Alejandro Jodorowsky, Amanda Lear, Brontis Jodorowsky, Chris Foss, Christian Vander, Devin Faraci, Frank Pavich, Donald Rosenfeld, Frank Pavich, Stephen Scarlata, Travis Stevens, David Cavallo, Alex Ricciardi, Kurt Stenzel",http://www.rottentomatoes.com/m/jodorowskys_dune
Welcome to Chechnya,2020,"Activists risk their lives to confront Russian leader Ramzan Kadyrov and his government-directed campaign to detain, torture and execute LGBTQ Chechens.",100,86,"An illuminating and urgent call to action, Welcome to Chechnya portrays the horrors of the mass persecution of the LGBTQ+ community in the Chechen Republic with tenacity and tenderness.",69,50+,unknown,"gay and lesbian, documentary",Russian,David France,"David France, Alice Henty, Askold Kurov, Joy A. Tomchin",David France,,2020-07-03,,107,"Public Square Films, Ninety Thousand Words, BBC Storyville, Maylo Films, Bertha Doc Society Journalism Fund, Palette Fund","David France, David France, David France, Alice Henty, Askold Kurov, Joy A. Tomchin, Nancy Abraham, Neal Baer, Jesse Tyler Ferguson, Masha Gessen",http://www.rottentomatoes.com/m/welcome_to_chechnya
